atc_code,atc_name,ddd,uom,adm_r,note
A,ALIMENTARY TRACT AND METABOLISM,,,,
A01,STOMATOLOGICAL PREPARATIONS,,,,
A02,DRUGS FOR ACID RELATED DISORDERS,,,,
A02BA02,Ranitidine,0.3,g,O,
A02BC01,Omeprazole,20,mg,O,
A02BC02,Pantoprazole,40,mg,O,
A02BC03,Lansoprazole,30,mg,O,
A02BC05,Esomeprazole,30,mg,O,
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,,,
A03FA01,Metoclopramide,30,mg,O,
A04,ANTIEMETICS AND ANTINAUSEANTS,,,,
A04AA01,Ondansetron,16,mg,O,
A05,BILE AND LIVER THERAPY,,,,
A06,DRUGS FOR CONSTIPATION,,,,
A06AD11,Lactulose,6.7,g,O,
A06AD65,Macrogol combinations,13.125,g,O,
A07,ANTIDIARRHEALS INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS,,,,
A07DA03,Loperamide,4,mg,O,
A10,DRUGS USED IN DIABETES,,,,
A10A,INSULINS AND ANALOGUES,,,,
A10AB01,Insulin (human),40,U,P,
A10AB04,Insulin lispro,40,U,P,
A10AB05,Insulin aspart,40,U,P,
A10AB06,Insulin glulisine,40,U,P,
A10AE04,Insulin glargine,40,U,P,
A10AE05,Insulin detemir,40,U,P,
A10AE06,Insulin degludec,40,U,P,
A10B,BLOOD GLUCOSE LOWERING DRUGS EXCL INSULINS,,,,
A10BA02,Metformin,2,g,O,
A10BB01,Glibenclamide,10,mg,O,
A10BB09,Gliclazide,60,mg,O,
A10BB12,Glimepiride,2,mg,O,
A10BD07,Metformin and sitagliptin,2,g,O,combination
A10BD08,Metformin and vildagliptin,2,g,O,combination
A10BG03,Pioglitazone,30,mg,O,
A10BH01,Sitagliptin,0.1,g,O,
A10BH02,Vildagliptin,0.1,g,O,
A10BH03,Saxagliptin,5,mg,O,
A10BH04,Alogliptin,25,mg,O,
A10BH05,Linagliptin,5,mg,O,
A10BJ01,Exenatide,15,mcg,P,
A10BJ02,Liraglutide,1.2,mg,P,
A10BJ05,Dulaglutide,1.5,mg,P,
A10BJ06,Semaglutide,1,mg,P,
A10BK01,Dapagliflozin,10,mg,O,
A10BK02,Canagliflozin,0.2,g,O,
A10BK03,Empagliflozin,17.5,mg,O,
A11,VITAMINS,,,,
A11CC05,Colecalciferol,20,mcg,O,
A12,MINERAL SUPPLEMENTS,,,,
A12AA04,Calcium carbonate,3,g,O,
B,BLOOD AND BLOOD FORMING ORGANS,,,,
B01,ANTITHROMBOTIC AGENTS,,,,
B01AA03,Warfarin,7.5,mg,O,
B01AB01,Heparin,10,TU,P,
B01AB05,Enoxaparin,2,TU,P,
B01AC04,Clopidogrel,75,mg,O,
B01AC05,Ticlopidine,0.5,g,O,
B01AC06,Acetylsalicylic acid,1,g,O,when used as antithrombotic
B01AC24,Ticagrelor,0.18,g,O,
B01AF01,Rivaroxaban,20,mg,O,
B01AF02,Apixaban,10,mg,O,
B01AF03,Edoxaban,60,mg,O,
B01AE07,Dabigatran etexilate,0.3,g,O,
B03,ANTIANEMIC PREPARATIONS,,,,
B03AA03,Ferrous gluconate,0.24,g,O,expressed as iron
B03AA07,Ferrous sulfate,0.2,g,O,expressed as iron
B03BA01,Cyanocobalamin,20,mcg,O,
B03BA03,Hydroxocobalamin,0.5,mg,P,
B03BB01,Folic acid,0.4,mg,O,
C,CARDIOVASCULAR SYSTEM,,,,
C01,CARDIAC THERAPY,,,,
C01AA05,Digoxin,0.25,mg,O,
C01DA02,Glyceryl trinitrate,2.5,mg,SL,
C01DA14,Isosorbide mononitrate,40,mg,O,
C02,ANTIHYPERTENSIVES,,,,
C03,DIURETICS,,,,
C03AA03,Hydrochlorothiazide,25,mg,O,
C03CA01,Furosemide,40,mg,O,
C03DA01,Spironolactone,75,mg,O,
C03DA04,Eplerenone,50,mg,O,
C07,BETA BLOCKING AGENTS,,,,
C07AA05,Propranolol,0.16,g,O,
C07AB02,Metoprolol,0.15,g,O,
C07AB03,Atenolol,75,mg,O,
C07AB07,Bisoprolol,10,mg,O,
C07AB12,Nebivolol,5,mg,O,
C07AG02,Carvedilol,37.5,mg,O,
C08,CALCIUM CHANNEL BLOCKERS,,,,
C08CA01,Amlodipine,5,mg,O,
C08CA02,Felodipine,5,mg,O,
