LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,STATUS
718-7,Hemoglobin [Mass/volume] in Blood,Hemoglobin,Hemoglobin,MCnc,Pt,Bld,Qn,,HEM/BC,ACTIVE
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Hematocrit Auto,Hematocrit,VFr,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
789-8,Erythrocytes [#/volume] in Blood by Automated count,RBC Auto,Erythrocytes,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
787-2,Erythrocyte mean corpuscular volume [Entitic volume] by Automated count,MCV Auto,Erythrocyte MCV,EntVol,Pt,RBC,Qn,Automated count,HEM/BC,ACTIVE
785-6,Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count,MCH Auto,Erythrocyte MCH,EntMass,Pt,RBC,Qn,Automated count,HEM/BC,ACTIVE
786-4,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count,MCHC Auto,Erythrocyte MCHC,MCnc,Pt,RBC,Qn,Automated count,HEM/BC,ACTIVE
788-0,Erythrocyte distribution width [Ratio] by Automated count,RDW RBC Auto,Erythrocyte distribution width,Ratio,Pt,RBC,Qn,Automated count,HEM/BC,ACTIVE
6690-2,Leukocytes [#/volume] in Blood by Automated count,WBC Auto,Leukocytes,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
770-8,Neutrophils/100 leukocytes in Blood by Automated count,Neutrophils NFr Auto,Neutrophils/100 leukocytes,NFr,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
751-8,Neutrophils [#/volume] in Blood by Automated count,Neutrophils Auto,Neutrophils,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
736-9,Lymphocytes/100 leukocytes in Blood by Automated count,Lymphocytes NFr Auto,Lymphocytes/100 leukocytes,NFr,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
731-0,Lymphocytes [#/volume] in Blood by Automated count,Lymphocytes Auto,Lymphocytes,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
5905-5,Monocytes/100 leukocytes in Blood by Automated count,Monocytes NFr Auto,Monocytes/100 leukocytes,NFr,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
742-7,Monocytes [#/volume] in Blood by Automated count,Monocytes Auto,Monocytes,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
713-8,Eosinophils/100 leukocytes in Blood by Automated count,Eosinophils NFr Auto,Eosinophils/100 leukocytes,NFr,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
711-2,Eosinophils [#/volume] in Blood by Automated count,Eosinophils Auto,Eosinophils,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
706-2,Basophils/100 leukocytes in Blood by Automated count,Basophils NFr Auto,Basophils/100 leukocytes,NFr,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
704-7,Basophils [#/volume] in Blood by Automated count,Basophils Auto,Basophils,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
777-3,Platelets [#/volume] in Blood by Automated count,Platelets Auto,Platelets,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,Platelet mean volume Auto,Platelet mean volume,EntVol,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE
2160-0,Creatinine [Mass/volume] in Serum or Plasma,Creatinine SerPl,Creatinine,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,BUN SerPl,Urea nitrogen,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2951-2,Sodium [Moles/volume] in Serum or Plasma,Sodium SerPl,Sodium,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2823-3,Potassium [Moles/volume] in Serum or Plasma,Potassium SerPl,Potassium,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride SerPl,Chloride,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,HCO3 SerPl,Bicarbonate,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium SerPl,Calcium,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2777-1,Phosphate [Mass/volume] in Serum or Plasma,Phosphate SerPl,Phosphate,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
19123-9,Magnesium [Mass/volume] in Serum or Plasma,Magnesium SerPl,Magnesium,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2345-7,Glucose [Mass/volume] in Serum or Plasma,Glucose SerPl,Glucose,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,Hgb A1c MFr Bld,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,,HEM/BC,ACTIVE
1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,Glucose Fasting SerPl,Glucose^fasting,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin SerPl,Albumin,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2885-2,Protein [Mass/volume] in Serum or Plasma,Protein SerPl,Protein,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ALT SerPl,Alanine aminotransferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,AST SerPl,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,ALP SerPl,Alkaline phosphatase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin total SerPl,Bilirubin.total,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin direct SerPl,Bilirubin.direct,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,GGT SerPl,Gamma glutamyl transferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase SerPl,Amylase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1986-9,C reactive protein [Mass/volume] in Serum or Plasma,CRP SerPl,C reactive protein,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
30341-2,Erythrocyte sedimentation rate,ESR Bld,Erythrocyte sedimentation rate,Vel,1H,Bld,Qn,,HEM/BC,ACTIVE
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,HDL SerPl,Cholesterol.in HDL,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,LDL Calc SerPl,Cholesterol.in LDL,MCnc,Pt,Ser/Plas,Qn,Calculated,CHEM,ACTIVE
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol SerPl,Cholesterol,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2571-8,Triglyceride [Mass/volume] in Serum or Plasma,Triglyceride SerPl,Triglyceride,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
3016-3,Thyrotropin [Units/volume] in Serum or Plasma,TSH SerPl,Thyrotropin,ACnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
3026-2,Thyroxine (T4) [Mass/volume] in Serum or Plasma,T4 SerPl,Thyroxine,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
3053-6,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Free T4 SerPl,Thyroxine.free,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
3051-0,Triiodothyronine (T3) free [Mass/volume] in Serum or Plasma,Free T3 SerPl,Triiodothyronine.free,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
5770-3,Prothrombin time (PT),PT Bld,Coagulation tissue factor induced,Time,Pt,PPP,Qn,,COAG,ACTIVE
5902-2,Prothrombin time (PT) in Platelet poor plasma by Coagulation assay,PT PPP,Coagulation tissue factor induced,Time,Pt,PPP,Qn,Coagulation,COAG,ACTIVE
6301-6,INR in Platelet poor plasma by Coagulation assay,INR PPP,Coagulation tissue factor induced.INR,Rto,Pt,PPP,Qn,Coagulation,COAG,ACTIVE
14979-9,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay,aPTT PPP,Activated partial thromboplastin time,Time,Pt,PPP,Qn,Coagulation,COAG,ACTIVE
3173-2,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,Fibrinogen PPP,Fibrinogen,MCnc,Pt,PPP,Qn,Coagulation,COAG,ACTIVE
48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,D-dimer FEU PPP,Fibrin D-dimer FEU,MCnc,Pt,PPP,Qn,,COAG,ACTIVE
5811-5,Specific gravity of Urine by Test strip,Sp Gr Ur Strip,Specific gravity,Rden,Pt,Urine,Qn,Test strip,UA,ACTIVE
5803-2,pH of Urine by Test strip,pH Ur Strip,pH,LsCnc,Pt,Urine,Qn,Test strip,UA,ACTIVE
20505-4,Bilirubin.total [Presence] in Urine by Test strip,Bilirubin Ur Strip Ql,Bilirubin.total,PrThr,Pt,Urine,Ord,Test strip,UA,ACTIVE
5797-6,Ketones [Presence] in Urine by Test strip,Ketones Ur Strip Ql,Ketones,PrThr,Pt,Urine,Ord,Test strip,UA,ACTIVE
2349-9,Glucose [Presence] in Urine by Test strip,Glucose Ur Strip Ql,Glucose,PrThr,Pt,Urine,Ord,Test strip,UA,ACTIVE
5804-0,Protein [Presence] in Urine by Test strip,Protein Ur Strip Ql,Protein,PrThr,Pt,Urine,Ord,Test strip,UA,ACTIVE
